id;first_name;last_name;telephone;email;hire_date
1;Kasey;Stamm;(312) 498-4852 x51721;"^qb@G?Q:@.D_n1";2024-12-03
2;Gerardo;Conn;501.836.4486 x6185;"T+t>yU@mX;@.skKU.";2024-12-04
3;Heber;Murazik;261-855-8827 x43860;"rChCCc@hk^@.t6";2024-12-04
4;Helena;Brown-Vandervort;1-580-724-5042 x333;">r@e@.FSOP?'";2024-12-03
5;Stephon;Mills;359-835-9596;")@&gL{.@.(-z/bt";2024-12-04
6;Briana;Runolfsdottir;529-749-6765 x1178;"lw_u+@Ch0:]@.+J~";2024-12-03
7;Elias;Schiller;687.549.0810 x039;"qER@n.4@.p>i}c";2024-12-04
8;Naomi;Smitham;596.324.4062 x75467;"AXDZu@L'@.L`_DVo";2024-12-03
9;Winfield;Purdy;1-274-495-9007 x19467;"/^^}*V@OdG8@.>Huq";2024-12-03
10;Creola;Nitzsche;1-864-734-0501 x7960;"7YT>@1|fu.@.q9i_";2024-12-03
